Biotic group,Statistic,All MPAs,Strong,Weak,Fully,Highly,Lightly,Minimally,Incompatible,Unclassified
All,Median,26.1,0.2,22.8,0.0,0.2,2.7,9.8,5.6,1.5
All,Q95,45.1,1.3,41.9,0.2,1.1,9.8,19.9,25.4,7.4
All,Min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Max,92.4,5.8,92.4,1.9,5.8,46.4,90.0,92.4,84.4
Benthic invertebrates,Median,28.5,0.2,25.0,0.0,0.2,2.6,10.1,7.6,1.3
Benthic invertebrates,Q95,45.7,1.3,42.6,0.2,1.2,10.0,20.2,26.7,6.7
Benthic invertebrates,Min,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benthic invertebrates,Max,92.4,3.9,92.4,1.9,3.6,33.1,47.0,92.4,46.0
Pelagic invertebrates,Median,13.8,0.1,11.8,0.0,0.1,1.6,6.8,2.3,1.6
Pelagic invertebrates,Q95,34.5,0.6,31.1,0.1,0.6,6.8,15.3,15.4,6.4
Pelagic invertebrates,Min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pelagic invertebrates,Max,62.7,1.4,60.9,0.7,1.2,19.9,33.5,58.7,27.4
Demersal fish,Median,29.7,0.5,24.2,0.0,0.4,4.1,13.3,3.1,2.9
Demersal fish,Q95,45.3,1.6,37.9,0.2,1.4,11.2,22.8,19.9,13.8
Demersal fish,Min,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Demersal fish,Max,84.4,4.3,69.5,1.3,4.3,46.4,51.4,62.4,84.4
Pelagic fish,Median,14.8,0.1,12.2,0.0,0.1,1.1,8.0,1.5,1.8
Pelagic fish,Q95,39.0,1.0,34.2,0.2,0.9,8.0,19.7,15.5,9.5
Pelagic fish,Min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pelagic fish,Max,90.8,2.8,90.8,1.5,2.3,13.2,90.0,59.1,31.2
Elasmobranchs,Median,26.5,0.4,23.2,0.0,0.3,2.3,13.2,3.6,2.3
Elasmobranchs,Q95,46.7,1.0,40.1,0.2,0.9,11.7,27.1,15.8,12.9
Elasmobranchs,Min,3.5,0.0,3.5,0.0,0.0,0.0,0.5,0.0,0.0
Elasmobranchs,Max,76.7,1.6,68.4,0.5,1.5,19.4,53.9,22.8,18.3
Mammals,Median,21.8,0.2,19.6,0.0,0.2,2.0,8.3,6.5,1.5
Mammals,Q95,48.9,0.6,45.5,0.1,0.5,6.0,22.3,25.2,7.2
Mammals,Min,7.2,0.0,2.6,0.0,0.0,0.3,0.4,0.0,0.0
Mammals,Max,58.1,1.0,58.1,0.3,0.9,14.0,31.2,57.4,11.8
Primary producers,Median,28.2,0.3,25.1,0.0,0.3,3.7,9.9,9.0,1.6
Primary producers,Q95,45.4,1.3,42.4,0.1,1.1,9.3,18.1,24.4,6.3
Primary producers,Min,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Primary producers,Max,76.6,5.8,74.7,0.6,5.8,21.7,42.8,61.0,29.6
