Biotic group,Statistic,All MPAs,Strong,Weak,Fully,Highly,Lightly,Minimally,Incompatible,Unclassified
All,Median,1.6,0.0,1.0,0.0,0.0,0.0,0.6,-0.6,0.0
All,Q2.5,-16.2,-0.9,-18.2,-0.2,-0.8,-5.2,-17.3,-10.0,-3.6
All,Q97.5,30.9,2.8,27.1,0.2,2.8,13.0,14.6,15.4,11.4
All,Min,-61.6,-5.4,-44.1,-1.5,-5.3,-33.1,-36.3,-35.9,-19.2
All,Max,95.6,56.4,95.6,38.1,56.4,45.7,82.9,95.9,48.9
Benthic invertebrates,Median,0.9,0.0,0.1,0.0,0.0,0.0,0.3,-0.8,0.0
Benthic invertebrates,Q2.5,-18.7,-0.9,-22.1,-0.3,-0.8,-5.6,-21.6,-10.5,-3.1
Benthic invertebrates,Q97.5,29.5,4.0,26.2,0.3,4.1,12.2,14.9,19.3,11.4
Benthic invertebrates,Min,-61.6,-2.7,-44.1,-0.8,-2.3,-33.1,-36.3,-35.9,-19.2
Benthic invertebrates,Max,91.3,37.1,91.3,3.9,37.2,43.2,78.9,91.7,42.3
Pelagic invertebrates,Median,4.0,0.0,2.9,0.0,0.0,0.1,0.1,-0.3,0.1
Pelagic invertebrates,Q2.5,-14.2,-0.3,-13.4,0.0,-0.3,-4.8,-8.5,-6.3,-5.5
Pelagic invertebrates,Q97.5,34.7,1.2,33.4,0.1,1.2,22.5,17.2,21.7,14.4
Pelagic invertebrates,Min,-28.1,-1.3,-28.1,-0.2,-1.1,-16.3,-16.4,-29.6,-6.7
Pelagic invertebrates,Max,95.6,7.3,95.6,0.1,7.3,45.7,82.9,95.9,18.4
Demersal fish,Median,0.5,0.0,-0.1,0.0,0.0,0.7,-1.7,-0.8,0.0
Demersal fish,Q2.5,-18.4,-1.0,-20.5,-0.2,-1.0,-6.8,-16.7,-6.0,-3.3
Demersal fish,Q97.5,22.4,4.7,17.1,0.4,4.2,15.2,7.8,14.4,11.8
Demersal fish,Min,-41.5,-1.3,-36.7,-0.2,-1.1,-29.3,-21.9,-30.3,-12.8
Demersal fish,Max,74.5,37.0,52.9,38.1,6.4,27.4,43.0,21.7,45.1
Pelagic fish,Median,3.1,0.1,1.9,0.0,0.1,0.2,1.1,0.0,0.6
Pelagic fish,Q2.5,-10.6,-0.5,-17.0,-0.2,-0.5,-3.7,-17.0,-5.0,-4.2
Pelagic fish,Q97.5,23.5,7.9,17.5,0.2,7.9,9.3,15.3,4.1,17.3
Pelagic fish,Min,-25.0,-1.4,-41.1,-1.5,-1.2,-8.3,-31.1,-22.6,-7.3
Pelagic fish,Max,40.7,56.4,39.0,0.7,56.4,21.3,38.7,7.3,33.2
Elasmobranchs,Median,1.5,0.0,1.0,0.0,0.0,0.3,0.0,0.0,0.0
Elasmobranchs,Q2.5,-10.0,-0.5,-9.0,0.0,-0.5,-8.2,-13.6,-5.2,-6.6
Elasmobranchs,Q97.5,33.0,0.7,32.6,0.1,0.7,14.7,35.0,4.5,6.3
Elasmobranchs,Min,-10.4,-0.6,-9.8,-0.1,-0.6,-13.3,-15.5,-5.4,-9.3
Elasmobranchs,Max,39.3,0.9,32.8,0.1,0.9,19.5,46.1,5.0,7.3
Mammals,Median,11.6,0.1,11.0,0.0,0.1,0.7,5.2,5.6,0.5
Mammals,Q2.5,5.0,0.0,5.0,0.0,0.0,-0.6,0.8,1.1,0.0
Mammals,Q97.5,25.5,0.7,20.5,0.2,0.6,3.1,8.5,11.6,11.2
Mammals,Min,4.5,0.0,4.4,0.0,0.0,-0.7,0.4,0.8,0.0
Mammals,Max,25.8,0.8,21.4,0.2,0.6,3.2,8.7,12.1,12.3
Primary producers,Median,1.5,0.0,1.2,0.0,0.0,-0.1,1.4,-0.7,-0.1
Primary producers,Q2.5,-13.7,-1.0,-14.2,-0.1,-0.9,-4.2,-10.1,-10.4,-2.8
Primary producers,Q97.5,29.5,1.0,23.5,0.2,1.0,8.2,12.6,14.5,8.5
Primary producers,Min,-37.1,-5.4,-37.4,-0.3,-5.3,-13.0,-25.4,-18.7,-14.9
Primary producers,Max,64.1,3.7,41.6,0.8,3.8,35.7,46.6,36.7,48.9
