Biotic group,Statistic,All MPAs,Strong,Weak,Fully,Highly,Lightly,Minimally,Incompatible,Unclassified
All,Median,-0.8,0.0,-0.6,0.0,0.0,-0.2,-0.2,-0.1,-0.1
All,Q2.5,-11.8,-0.4,-10.7,-0.1,-0.3,-2.9,-5.9,-7.5,-2.8
All,Q97.5,6.3,0.2,6.3,0.0,0.2,1.4,4.6,5.5,1.2
All,Min,-75.6,-3.5,-76.3,-1.9,-3.6,-30.4,-75.6,-38.0,-74.7
All,Max,43.0,1.5,41.0,1.2,1.2,16.2,40.7,40.8,19.1
Benthic invertebrates,Median,-0.9,0.0,-0.8,0.0,0.0,-0.1,-0.2,-0.2,-0.1
Benthic invertebrates,Q2.5,-10.7,-0.3,-10.6,-0.1,-0.3,-2.6,-4.9,-8.4,-1.8
Benthic invertebrates,Q97.5,5.7,0.2,5.6,0.0,0.2,1.2,3.9,5.5,0.9
Benthic invertebrates,Min,-31.9,-2.6,-39.4,-1.9,-2.4,-15.6,-25.2,-38.0,-37.2
Benthic invertebrates,Max,31.2,1.5,31.2,1.2,1.2,12.8,36.1,40.8,19.1
Pelagic invertebrates,Median,-0.3,0.0,-0.2,0.0,0.0,-0.1,0.0,0.0,-0.1
Pelagic invertebrates,Q2.5,-10.0,-0.3,-8.6,-0.1,-0.2,-2.6,-6.2,-4.4,-5.0
Pelagic invertebrates,Q97.5,7.9,0.2,9.5,0.0,0.1,1.3,6.3,3.2,1.5
Pelagic invertebrates,Min,-56.4,-1.0,-28.3,-0.3,-0.8,-11.6,-24.7,-11.3,-27.4
Pelagic invertebrates,Max,43.0,0.5,41.0,0.3,0.5,16.2,40.7,13.4,7.9
Demersal fish,Median,-0.9,0.0,-0.5,0.0,0.0,-0.1,-0.3,0.0,-0.1
Demersal fish,Q2.5,-16.9,-0.6,-11.9,-0.1,-0.5,-5.8,-7.8,-5.2,-8.7
Demersal fish,Q97.5,7.9,0.4,7.9,0.1,0.4,3.5,7.3,5.9,5.2
Demersal fish,Min,-66.7,-3.5,-48.9,-0.5,-3.6,-30.4,-28.7,-30.1,-74.7
Demersal fish,Max,14.3,0.8,25.1,0.4,0.8,8.0,21.0,10.3,8.8
Pelagic fish,Median,-0.4,0.0,-0.3,0.0,0.0,-0.1,-0.3,0.0,-0.2
Pelagic fish,Q2.5,-25.3,-0.6,-18.5,-0.1,-0.5,-3.7,-15.4,-3.9,-9.7
Pelagic fish,Q97.5,8.7,0.2,8.5,0.0,0.2,1.8,7.2,6.0,1.6
Pelagic fish,Min,-75.6,-1.8,-76.3,-0.3,-1.8,-10.1,-75.6,-26.9,-24.1
Pelagic fish,Max,29.4,1.1,29.4,0.1,1.1,9.3,16.8,22.3,7.4
Elasmobranchs,Median,-1.2,0.0,-1.0,0.0,0.0,-0.1,-0.4,-0.2,-0.3
Elasmobranchs,Q2.5,-17.0,-0.6,-12.5,-0.1,-0.5,-5.9,-9.1,-9.1,-6.0
Elasmobranchs,Q97.5,13.0,0.3,13.4,0.1,0.3,7.2,7.1,6.1,3.3
Elasmobranchs,Min,-29.2,-1.5,-36.1,-0.4,-1.5,-11.9,-26.3,-14.6,-7.0
Elasmobranchs,Max,18.2,0.4,22.7,0.2,0.6,9.6,35.0,9.2,6.8
Mammals,Median,-0.5,0.0,-0.4,0.0,0.0,-0.4,-0.5,1.0,-0.1
Mammals,Q2.5,-9.3,-0.3,-8.6,0.0,-0.3,-2.0,-8.1,-4.2,-3.8
Mammals,Q97.5,9.7,0.1,9.2,0.0,0.1,1.8,5.5,11.3,3.0
Mammals,Min,-9.9,-0.4,-10.7,0.0,-0.4,-2.5,-13.8,-6.5,-4.0
Mammals,Max,14.3,0.1,14.3,0.0,0.2,2.2,5.6,13.8,4.4
Primary producers,Median,-0.7,0.0,-0.5,0.0,0.0,-0.2,-0.2,-0.1,-0.1
Primary producers,Q2.5,-7.9,-0.3,-7.6,0.0,-0.3,-2.3,-3.7,-4.7,-1.1
Primary producers,Q97.5,3.9,0.1,4.0,0.0,0.1,0.5,2.1,4.9,0.6
Primary producers,Min,-27.6,-1.1,-26.9,-0.4,-1.0,-7.7,-13.2,-23.3,-24.3
Primary producers,Max,19.9,0.6,22.0,0.2,0.6,10.6,12.8,14.2,8.5
