Biotic group,Statistic,All MPAs,Strong,Weak,Fully,Highly,Lightly,Minimally,Incompatible,Unclassified
All,Median,-0.1,0.0,-0.2,0.0,0.0,0.0,0.5,-0.3,0.1
All,Q2.5,-8.9,-0.4,-8.8,-0.1,-0.3,-3.0,-3.8,-9.0,-1.5
All,Q97.5,9.1,0.3,8.5,0.1,0.3,2.5,5.9,5.9,2.3
All,Min,-18.6,-1.2,-19.5,-1.1,-1.3,-11.8,-15.8,-24.7,-9.9
All,Max,38.2,1.4,38.2,0.3,1.4,13.5,24.3,38.3,16.2
Benthic invertebrates,Median,-0.5,0.0,-0.6,0.0,0.0,0.0,0.5,-0.5,0.1
Benthic invertebrates,Q2.5,-9.4,-0.4,-9.3,-0.1,-0.3,-2.9,-3.6,-9.7,-1.3
Benthic invertebrates,Q97.5,8.4,0.3,7.6,0.1,0.3,2.4,5.8,5.6,2.2
Benthic invertebrates,Min,-18.6,-1.2,-19.5,-1.1,-1.3,-11.8,-15.8,-24.7,-7.4
Benthic invertebrates,Max,38.2,1.1,38.2,0.3,1.0,13.5,19.7,38.3,9.7
Pelagic invertebrates,Median,1.0,0.0,0.9,0.0,0.0,0.1,0.6,0.0,0.2
Pelagic invertebrates,Q2.5,-6.3,-0.2,-6.3,0.0,-0.2,-2.7,-3.1,-3.8,-2.1
Pelagic invertebrates,Q97.5,11.6,0.3,11.6,0.0,0.3,1.7,10.8,6.3,3.4
Pelagic invertebrates,Min,-11.4,-0.6,-12.7,-0.4,-0.3,-7.4,-6.3,-13.2,-5.9
Pelagic invertebrates,Max,34.9,0.6,24.1,0.1,0.6,3.1,24.3,12.6,16.2
Demersal fish,Median,1.3,0.0,0.9,0.0,0.0,0.2,0.4,-0.2,0.2
Demersal fish,Q2.5,-4.9,-0.7,-5.7,-0.1,-0.7,-3.8,-5.4,-5.6,-2.2
Demersal fish,Q97.5,12.5,0.6,8.7,0.2,0.6,3.6,4.3,10.6,7.0
Demersal fish,Min,-8.4,-0.9,-9.1,-0.1,-1.1,-7.7,-6.2,-12.0,-4.5
Demersal fish,Max,26.2,1.4,18.8,0.3,1.4,10.0,17.6,17.5,8.0
Pelagic fish,Median,1.3,0.0,1.4,0.0,0.0,0.0,0.7,0.2,0.0
Pelagic fish,Q2.5,-4.9,-0.2,-4.9,-0.1,-0.2,-2.1,-3.7,-2.2,-1.9
Pelagic fish,Q97.5,8.8,0.2,8.5,0.0,0.2,2.5,5.2,6.1,1.8
Pelagic fish,Min,-10.7,-0.8,-8.9,-0.2,-0.6,-4.4,-9.2,-3.5,-9.8
Pelagic fish,Max,12.3,0.3,12.2,0.1,0.3,8.5,16.8,9.5,3.1
Elasmobranchs,Median,1.2,0.0,1.1,0.0,0.0,-0.3,0.5,-0.5,0.1
Elasmobranchs,Q2.5,-6.8,-0.2,-5.7,0.0,-0.2,-1.6,-5.0,-3.9,-1.7
Elasmobranchs,Q97.5,8.3,1.1,7.9,0.1,1.1,6.0,5.5,3.2,2.9
Elasmobranchs,Min,-7.4,-0.4,-6.0,-0.1,-0.4,-2.3,-7.8,-6.9,-2.6
Elasmobranchs,Max,9.0,1.2,8.4,0.1,1.2,6.5,5.6,3.8,3.4
Mammals,Median,2.9,0.0,3.2,0.0,0.0,0.2,0.0,2.6,-0.2
Mammals,Q2.5,-1.8,-0.3,-1.5,-0.2,-0.1,-0.6,-2.8,0.1,-2.9
Mammals,Q97.5,19.0,0.1,20.5,0.0,0.1,1.4,10.7,14.7,1.1
Mammals,Min,-2.3,-0.5,-1.9,-0.3,-0.1,-0.7,-3.0,-0.1,-4.0
Mammals,Max,19.9,0.1,21.4,0.0,0.1,1.5,14.6,18.9,1.5
Primary producers,Median,-0.2,0.0,-0.1,0.0,0.0,-0.2,0.3,0.0,0.1
Primary producers,Q2.5,-7.6,-0.4,-8.0,-0.1,-0.4,-3.3,-4.7,-5.1,-2.3
Primary producers,Q97.5,8.5,0.3,8.7,0.0,0.3,1.8,4.7,5.9,1.6
Primary producers,Min,-15.7,-1.0,-14.5,-0.1,-0.9,-5.8,-12.2,-11.9,-9.9
Primary producers,Max,34.1,1.1,33.7,0.2,1.0,8.3,13.0,18.8,4.9
